input_name,normalized_name,medical_store_id
"DEVAKI MEDICAL STORE [CT] MAVDI, RAJKOT, RAJKOT",devaki medical store ct mavdi rajkot rajkot,8590323d-ed2e-4f46-87af-fc8d4cd52279
"DEVAYASHY PHARMA, RAJKOT, RAJKOT",devayashy pharma rajkot rajkot,4fdfb38b-b898-4f8c-b759-bd25f18d1458
"DEVKI MEDICAL STORE - mavdi, RAJKOT, RAJKOT",devki medical store mavdi rajkot rajkot,78d3c1d6-eb3e-4875-b5d5-cb936d6272a1
"DEVPUSHAP M. STORE rayaroad, RAJKOT, RAJKOT",devpushap m store rayaroad rajkot rajkot,5a5981eb-565e-4548-b7b6-0f43458e9fde
"DEVPUSHP MEDICAL STORE ( SANGANAVA CHOEK, RAJKOT, ",devpushp medical store sanganava choek rajkot,89853990-e468-4987-8624-8f4a24fe3e70
"DEVPUSHP MEDICAL STORE -S.T., RAJKOT, RAJKOT",devpushp medical store s t rajkot rajkot,f1b06733-4662-49c3-b392-49ca9622b609
"DEVPUSHP MEDICAL STORE( WHOLSALE) 7, RAJKOT, RAJKO",devpushp medical store wholsale 7 rajkot rajko,ff7f72f6-311a-4b74-8742-98c1ac346c45
"DHARMI MEDI STORE [CT]G.CHK, RAJKOT, RAJKOT",dharmi medi store ct g chk rajkot rajkot,83ca4930-3608-4e6b-b02d-c435ade3ca60
"DHARMI MEDICINE [CT] AJI, RAJKOT, RAJKOT",dharmi medicine ct aji rajkot rajkot,17af7f2d-7c4d-4d9f-8d5f-462c2a100128
"DHARMIK M STORE [CT] B.V, RAJKOT, RAJKOT",dharmik m store ct b v rajkot rajkot,fafce5c1-1dfb-4ebe-8848-26de155addb7
"DHARTI M AGENCY [DT] V.N., RAJKOT, RAJKOT",dharti m agency dt v n rajkot rajkot,55f944e7-b195-4fa1-8b5c-3d7f9ae5b568
"DHRUV MEDICINES BHIMNAGAR 1, RAJKOT, RAJKOT",dhruv medicines bhimnagar 1 rajkot rajkot,fc2b0ef1-37d7-4644-8c23-9e171a2e4c1a
"DISHA MEDICAL STORE - JUNCTION, RAJKOT, RAJKOT",disha medical store junction rajkot rajkot,b0caf51b-89f7-4ccf-b47a-c06cba132f77
DISHA MEDICAL STORE JUNCTION,disha medical store junction,9fadbdcc-b8d7-4684-b68d-abb7693ab341
"DOSHI BROTHERS, WANKANER, WANKANER",doshi brothers wankaner wankaner,6f50c40b-d01c-49f8-a909-f93128bc4e92
"DR A M KAPASI, RAJKOT, RAJKOT",dr a m kapasi rajkot rajkot,af2bbff7-9a4a-42aa-846e-697a174e8832
"DR ABHAY BAGATHARIYA, RAJKOT, RAJKOT",dr abhay bagathariya rajkot rajkot,03d86eac-4d41-4322-9559-db486d320ca0
"DR B K PATEL, RAJKOT, RAJKOT",dr b k patel rajkot rajkot,b32e5f8b-d9cf-4d88-9ac8-fd22153550dd
"DR BHUMIKA KALARIA, RAJKOT, RAJKOT",dr bhumika kalaria rajkot rajkot,48c11456-8d46-422a-b039-5328c3ada68b
"DR BRIJESH MONPARA, KALAVAD, KALAVAD",dr brijesh monpara kalavad kalavad,312f686e-7419-4266-bbfe-b9032ff46e2f
"DR H K DANGAR, RAJKOT, RAJKOT",dr h k dangar rajkot rajkot,b0bd719b-2c48-44fb-b5aa-5d4c6fe3c6d4
"DR JAYDEV BHUVA 2, RAJKOT, RAJKOT",dr jaydev bhuva 2 rajkot rajkot,2b4a6bb4-363c-4929-9ef8-b57ead68d12d
"DR KETAN LIMBASIYA, GAURIDAL, GAURIDAL",dr ketan limbasiya gauridal gauridal,531ac645-331b-4d27-ba1a-093d345a55a2
"DR KRUNAL GONDALIYA, RAJKOT, RAJKOT",dr krunal gondaliya rajkot rajkot,c3133686-3095-4323-b7a2-8f6c0406c34f
"DR KUSUMBEN AMRUTLAL DOSHI MEDICAL STORE, MORBI, M",dr kusumben amrutlal doshi medical store morbi m,47d96e13-fc37-4071-81c5-19e381a9f0eb
"DR L P GANATRA, RAJKOT, RAJKOT",dr l p ganatra rajkot rajkot,6516a053-21aa-4650-862c-aa56876ee177
"DR MEET PATEL, RAJKOT, RAJKOT",dr meet patel rajkot rajkot,8651affa-95b8-404d-8820-3454d6253083
"DR MEHUL DOBARIYA, RAJKOT, RAJKOT",dr mehul dobariya rajkot rajkot,a42d623f-01b0-46d7-b551-36f8c4be0c4f
"DR NEHABEN MARAVIYA - MOVADI 1, RAJKOT, RAJKOT",dr nehaben maraviya movadi 1 rajkot rajkot,3df08fd0-9796-4f59-a90d-9acfe7f57c33
"DR P M PATEL 2, RAJKOT,",dr p m patel 2 rajkot,9aab391b-0629-496d-b31e-c2a71e0ae8b5
"DR PARTH P PATEL, RAJKOT, RAJKOT",dr parth p patel rajkot rajkot,dcd1d65e-08a5-4aa4-be7d-a691d60e5195
"DR PRASHANT J. KOTHIVAR, RAJKOT, RAJKOT",dr prashant j kothivar rajkot rajkot,a2878a6e-fe1d-4ee6-8334-5846f263fcaa
"DR SANDEEP BAVADIYA, THORDI, THORDI",dr sandeep bavadiya thordi thordi,64243ee7-1fb1-413f-a50d-ad1be18ff67f
"DR SUNIL KUKARVADIYA, ,",dr sunil kukarvadiya,46255462-1935-4962-bebf-eec138073411
"DR SWAPNIL PATEL, ,",dr swapnil patel,dca0d97a-2c0e-447f-baa4-f29f45e9613a
"DR.A.H.POPTANI V.N., RAJKOT, RAJKOT",dr a h poptani v n rajkot rajkot,9fb8cad7-f534-49b0-b648-26af2a33a454
"DR.A.L.SHINHA JUNCTION, RAJKOT, RAJKOT",dr a l shinha junction rajkot rajkot,d2a3fa91-5df6-42f0-9e63-814763c2ece1
"DR.A.S.MEHTA JUNCTION, RAJKOT, RAJKOT",dr a s mehta junction rajkot rajkot,c19cb496-82f6-4a19-b982-550e9eb1970e
"DR.B.C.SHAH junction, RAJKOT, RAJKOT",dr b c shah junction rajkot rajkot,5b0f7786-9333-44cd-8392-1235ab32c61f
"DR.KOMAL VIRDA, MATODA, MATODA",dr komal virda matoda matoda,7d2907f6-dbc3-432e-be4e-f9063c825f27
"DVR PHARMA AGENCY -KEVDAWADI, RAJKOT, RAJKOT",dvr pharma agency kevdawadi rajkot rajkot,9b898608-ae58-4638-bc71-8e2373126f65
"EARTH PHARMA - RAIYA, RAJKOT, RAJKOT",earth pharma raiya rajkot rajkot,ece9d87e-17b8-4f61-9110-cfabb14da58d
"EARTH PHARMA [DT] RAIYA, RAJKOT, RAJKOT",earth pharma dt raiya rajkot rajkot,f1e35563-a8c7-4fe8-905c-7d015723def8
"EARTH PHARMA, RAJKOT, RAJKOT",earth pharma rajkot rajkot,293b202e-6e7e-4a17-bebc-fae1c3911bee
"EQUINOX PHARMACY, 150 FET RING ROAD, RAJKOT",equinox pharmacy 150 fet ring road rajkot,dd9dacd0-352f-4887-a929-6f6a20d07a31
"EQUINOX PHARMACY, RAJKOT, RAJKOT",equinox pharmacy rajkot rajkot,dbc61802-eb2c-4eb4-9e0f-9d1cbf2ef5ba
"FLOWRENCE HOSPITAL MAVDI, RAJKOT, RAJKOT",flowrence hospital mavdi rajkot rajkot,7a170854-87a3-499c-b387-57349e5916de
"FLOWRENCE HOSPITAL, RAJKOT, RAJKOT",flowrence hospital rajkot rajkot,48737d7a-de5e-4950-a964-2d46374b7b93
"GAJANAN MEDICINE, RAJKOT, RAJKOT",gajanan medicine rajkot rajkot,fd77ea03-a6b1-4de1-b394-d9cbb9798d80
GAJANAN MEDICINES (NANA MAVA),gajanan medicines nana mava,6635dfe1-631b-4dd7-898e-3744d38c154c
"GAJANAN MEDICINES- BHIMNAGAR, RAJKOT, RAJKOT",gajanan medicines bhimnagar rajkot rajkot,a58111c4-5946-4497-a375-320c57ce9277
"GAJANAND MEDICINES [CT] NANA MOVA, RAJKOT, RAJKOT",gajanand medicines ct nana mova rajkot rajkot,80941a25-e884-4fb1-8744-c41e3ada4019
GANESH MEDICAL HALL KHAREDI,ganesh medical hall kharedi,090611a5-30a2-4b67-be4b-ddf08b8c2703
"GAURAV MEDICINES 7, RAIYA ROAD, RAJKOT",gaurav medicines 7 raiya road rajkot,5c6e0b47-d57f-438b-9e85-240e3e80a6f9
"GAYATRI M STORE [DT] VISHWAS, RAJKOT, RAJKOT",gayatri m store dt vishwas rajkot rajkot,532df740-86f9-4adc-bc4b-3708669dea10
"GAYATRI M.CENTRE [DT] MAIN, RAJKOT, RAJKOT",gayatri m centre dt main rajkot rajkot,d45dee3c-d45d-447e-bfc8-3ae19314fdd3
GAYATRI MEDICAL CENTRE,gayatri medical centre,f4a898b5-0288-4163-8031-4eb28b9ee13d
"GAYATRI MEDICAL STORE RADHE HOTEL 1, RAJKOT, RAJKO",gayatri medical store radhe hotel 1 rajkot rajko,84d77bcd-5aae-4513-95c8-cffa5f11b6f6
GAYATRI MEDICINES RAIYA ROAD,gayatri medicines raiya road,0e1cad54-f365-4d96-b7af-3e92fbca2495
"GAYATRI MEDICO [DT] MAVDI, RAJKOT, RAJKOT",gayatri medico dt mavdi rajkot rajkot,c0c8c658-c169-4818-b575-74dc62379ef3
"GAYTRI M. S. MAVDI RADHE HOTEL, RAJKOT, RAJKOT",gaytri m s mavdi radhe hotel rajkot rajkot,4130da17-2a1b-499b-9cd3-4165151486d1
"GAYTRI M.CENTER- MAIN vidhya, RAJKOT, RAJKOT",gaytri m center main vidhya rajkot rajkot,5b7b4850-08de-46e2-9c7d-7a9c4a6413fb
"GAYTRI MEDICINES RAIYACHOKDI, RAJKOT, RAJKOT",gaytri medicines raiyachokdi rajkot rajkot,7a372113-5998-451f-a572-100913233830
GETWELL MEDICINE,getwell medicine,4789d7ae-c10e-45f0-ae51-6f8058cc825d
"GETWELL MEDICINE JAGNATH, RAJKOT, RAJKOT",getwell medicine jagnath rajkot rajkot,fd30a8c3-0dc1-4912-87bc-6e0116addd36
"GETWELL MEDICINE [CT] AST, RAJKOT, RAJKOT",getwell medicine ct ast rajkot rajkot,27d8311e-a4ab-4370-8a33-0fcd5c3f1c0c
GHANSHYAM DRUG HOUSE,ghanshyam drug house,a7e17111-e19c-4653-a9f5-be95bd625656
"GIRIRAJ M STORE [CT] KO.RO, RAJKOT, RAJKOT",giriraj m store ct ko ro rajkot rajkot,10c1cae1-aa35-47c0-9b5e-273cae77eba4
"GIRIRAJ PHARMACY [CT] NEHRU, RAJKOT, RAJKOT",giriraj pharmacy ct nehru rajkot rajkot,e7cdb414-81c5-4213-bbc6-f067b50b6033
GLOBAL MEDICAL STORE,global medical store,7c40329d-1b9d-40ef-aa48-389cc9ab93bd
"GLOBEL PHARMACY [CT] MAVDI, RAJKOT, RAJKOT",globel pharmacy ct mavdi rajkot rajkot,1fa7d46c-5d4e-4658-abd9-11691c13eec6
"GOKUL MEDICAL STORE, SHAPAR, SHAPAR",gokul medical store shapar shapar,3c685ba9-2b6d-478a-800a-6fc131f15981
"GOPALANI MEDICINE junction, RAJKOT, RAJKOT",gopalani medicine junction rajkot rajkot,789e41e6-d950-46c5-8c93-be7bdcdee170
"GOPLANI MEDICINE 3, RAJKOT, RAJKOT",goplani medicine 3 rajkot rajkot,02458125-c982-4127-91b6-d45b65316452
"GOPLANI MEDICINE [CT] JUCT, RAJKOT, RAJKOT",goplani medicine ct juct rajkot rajkot,215d928e-90fe-41f1-89b1-bbf8f32c6313
GOPLANI MEDICINES,goplani medicines,18e6d4c1-51d5-4f80-a67f-a73ac2b9ff81
GREENLIFE PHARMACY & GENERAL STORE,greenlife pharmacy general store,233d51da-40c1-433e-ac81-71a5d936f8f3
"GUJRAT MEDICAL STORE - RAIL NAGAR, RAJKOT, RAJKOT",gujrat medical store rail nagar rajkot rajkot,aeb6fe45-09d0-4ced-81d5-04e219eac03f
"GURUDATT MEDI.STORE MAVDI, RAJKOT, RAJKOT",gurudatt medi store mavdi rajkot rajkot,b9abef14-15e5-4d77-a719-c7de293cf1aa
"GURUDUTT M STORE [CT] MAVDI, RAJKOT, RAJKOT",gurudutt m store ct mavdi rajkot rajkot,d8d2708f-eabc-4cd4-9fe0-df1fda4d9e27
HARIKRUSHNA PHARMACY,harikrushna pharmacy,2421f1eb-1302-47e2-96d0-c0c9426d5627
"HARIKRUSHNA PHARMACY 1, RAJKOT, RAJKOT",harikrushna pharmacy 1 rajkot rajkot,f8a3e50b-7f7f-48b6-8a20-91cdbbd0f4e2
"HARIKRUSHNA PHARMACY [CT] JIVRAJ PARK, RAJKOT, RAJ",harikrushna pharmacy ct jivraj park rajkot raj,b2c67c33-2344-4f0f-bc04-027b75cfb08b
"HEALTH PLUS MEDICAL [CT] KANGASIYALI, RAJKOT, RAJK",health plus medical ct kangasiyali rajkot rajk,6adc56b2-d3f9-4a99-8ddd-4a10c63eec51
"HEALTH PLUS MEDICAL, RAJKOT, RAJKOT",health plus medical rajkot rajkot,fa21534c-f5c5-40cb-9f0c-747d99be4f09
"HEALTH PLUS MEDICAL- KANGASIYALI, RAJKOT, RAJKOT",health plus medical kangasiyali rajkot rajkot,fa21534c-f5c5-40cb-9f0c-747d99be4f09
HEALTHCARE MEDICAL STORE,healthcare medical store,d1c273ab-115d-4dcb-ac7c-eb6f7e472974
"HEALTHCARE MEDICINES & AGENCY GAYTRNG, RAJKOT, RA",healthcare medicines agency gaytrng rajkot ra,cef2f4e1-6e27-44eb-8afc-d249d701f598
"HEALWELL PHARMACY, RAJKOT, RAJKOT",healwell pharmacy rajkot rajkot,9946f50d-7c43-4bc1-9c8c-4263bde83ae8
"HEER PHARMACY 1, RAJKOT, RAJKOT",heer pharmacy 1 rajkot rajkot,ab6c98f6-3d16-43e6-aeeb-20b921ddbcb8
"HEER PHARMACY [CT] K.ROAD, RAJKOT, RAJKOT",heer pharmacy ct k road rajkot rajkot,c55c34e3-0cec-4302-bbea-52f8332c81c7
"HITEN MEDICAL STORE, DWARKA, DWARKA",hiten medical store dwarka dwarka,6c6ff1a7-1c4a-4ffc-893d-b63a8fd73afb
"HOPE M.AGENCY KALAVAD ROAD, RAJKOT, RAJKOT",hope m agency kalavad road rajkot rajkot,bb41ac8d-daf3-4769-9471-8fda33abdd30
"HOPE MEDICAL AGENCY 6, RAJKOT, RAJKOT",hope medical agency 6 rajkot rajkot,12e2ab68-058d-406a-91b6-a7acd62be857
"JAGRUTI MEDICINES 2, RAJKOT, RAJKOT",jagruti medicines 2 rajkot rajkot,752d9cdb-e041-43ad-86cd-b8fa78515d8e
"JAGRUTI MEDICINES [CT] BNC, RAJKOT, RAJKOT",jagruti medicines ct bnc rajkot rajkot,8317633a-844c-46fe-bd88-f0044e7dfa4f
"JAGRUTI MEDICINES kotharia bha, RAJKOT, RAJKOT",jagruti medicines kotharia bha rajkot rajkot,dc8b6d4c-438f-4884-b33d-9165bbecac67
JALARAM MEDICAL STORES C.W.,jalaram medical stores c w,9eb96952-566d-499d-9b04-33413e5fd910
"JAN SEVA AUSHADH KENDRA ( JUNCTION ), RAJKOT, RAJK",jan seva aushadh kendra junction rajkot rajk,8b656ebb-b45b-4ec2-aa72-09210f70133b
"JAY BAJARANG M.S. junction, RAJKOT, RAJKOT",jay bajarang m s junction rajkot rajkot,e0b3b402-fb07-47d0-bd2a-529f11d4657e
"JAY BAJRANG M.STORE [CT] JUCT, RAJKOT, RAJKOT",jay bajrang m store ct juct rajkot rajkot,5773724b-b426-4622-ae60-258557d443f9
"JAY CHAMUNDA M STORE [DT] MAVDI, RAJKOT, RAJKOT",jay chamunda m store dt mavdi rajkot rajkot,47a9d013-2530-497c-8c89-15e587355bea
"JAY JALARAM DRUG HOUSE pedakro, RAJKOT, RAJKOT",jay jalaram drug house pedakro rajkot rajkot,8890e86b-18a3-406d-902a-438338d558f7
"JAY JALARAM M.STORE S.T., KUVADVA, KUVADVA",jay jalaram m store s t kuvadva kuvadva,64d8aaff-fbc5-4084-98fc-800605f28f7a
"JAY JALARAM MED ST [CT] S.T, RAJKOT, RAJKOT",jay jalaram med st ct s t rajkot rajkot,a8d7ecbb-d488-4d1d-ae02-279e2dac29a2
"JAY JALARAM MEDICAL STORES ( KUVADVA ), RAJKOT, RA",jay jalaram medical stores kuvadva rajkot ra,06a1cf1c-e10b-4fb9-be75-802768c77f01
JAY JALARAM MEDICAL STORES (KUVADVA),jay jalaram medical stores kuvadva,48bb1b83-8d3b-465b-8895-43bd52afe7b9
"JAY JALRAM MED.STORE s.t., RAJKOT, RAJKOT",jay jalram med store s t rajkot rajkot,8bd1fd08-a617-48a9-bebc-6385a6df24f9
JAY MEDICAL 80FT ROAD,jay medical 80ft road,2ce1d601-7d6c-4ba8-b183-0bdee66d0b2a
"JAY MEDICAL STORE [CT] S.K., RAJKOT, RAJKOT",jay medical store ct s k rajkot rajkot,7a95bfbc-9f3f-4ff0-b40a-51d894ead9ab
"JAY MEDICAL STORE(RAMNATH PAR MAIN ROAD), RAJKOT, ",jay medical store ramnath par main road rajkot,615eb202-d346-492c-8c8b-f89a9fab23c6
"JAYDIP MED.STORE KOTHARIYA, RAJKOT, RAJKOT",jaydip med store kothariya rajkot rajkot,4e4f5540-9f0d-4903-b1e5-839213bee3da
"JEET PHARMACY [CT] BHAGVATI PARA, RAJKOT, RAJKOT",jeet pharmacy ct bhagvati para rajkot rajkot,ef028af3-b30b-4867-b76f-f90d9995451c
"JITESH MED STORE [CT] S.K., RAJKOT, RAJKOT",jitesh med store ct s k rajkot rajkot,d1013947-fa80-4bda-b157-3e74ff996be1
"JITESH MEDI.STORE pedakrod, RAJKOT, RAJKOT",jitesh medi store pedakrod rajkot rajkot,ad9bc3c5-f315-475c-a5dd-96c7f1181b96
"JITESH MEDICAL STORE, RAJKOT, RAJKOT",jitesh medical store rajkot rajkot,e3a3dba2-376f-4b0d-b96e-2d9d7f790430
"JYOTHI PHARMA, RAJKOT, RAJKOT",jyothi pharma rajkot rajkot,10a22777-16a9-470c-9403-dee72ac18b65
"JYOTI PHARMA [CT] K.ROAD, RAJKOT, RAJKOT",jyoti pharma ct k road rajkot rajkot,30965136-6876-46db-bd34-28205c166970
"K D WELLNESS (CT) JK CHOWK, RAJKOT, RAJKOT",k d wellness ct jk chowk rajkot rajkot,48e65b6a-f308-4cff-9d34-5e8504a638b4
"K D WELLNESS NAMH MEDI, RAJKOT, RAJKOT",k d wellness namh medi rajkot rajkot,03d65717-afac-4d8a-92b9-435fbf46752f
"K.D. WELLNESS - UNIVERCITY, RAJKOT, RAJKOT",k d wellness univercity rajkot rajkot,27ccba56-45da-445b-a8ab-284840818fd4
"KAILASH MED.HOUES dhebrrod, RAJKOT, RAJKOT",kailash med houes dhebrrod rajkot rajkot,edd4b8eb-1e43-474f-bcae-df2b1235c1a7
"KARAN M & CON.STORE kalavd roa, RAJKOT, RAJKOT",karan m con store kalavd roa rajkot rajkot,f6d1cbde-d244-4076-a577-de3f96e5f4c9
"KARAN MEDI.&CO.STORE [CT] K.R, RAJKOT, RAJKOT",karan medi co store ct k r rajkot rajkot,5f872d6b-84e3-49b8-b90d-f3fd9472fa11
"KARAN MEDICINE & CON. ST. 6, RAJKOT, RAJKOT",karan medicine con st 6 rajkot rajkot,1043c7a8-8dba-45b3-bd1e-d8f00fd7121b
KARAN MEDICINE & CONSUMERS ST.,karan medicine consumers st,348e7d63-ca62-4712-9cfc-4ba38892deaf
"KASTBHANJAN MEDICAL(JIVRAJ PARK), RAJKOT, RAJKOT",kastbhanjan medical jivraj park rajkot rajkot,cc7f7d36-7497-4aa9-be41-0569cdf72e30
"KEDAR MEDICAL [DT] MADHAPAR, RAJKOT, RAJKOT",kedar medical dt madhapar rajkot rajkot,d2f1b4b3-47b6-4895-b4cd-06fc9a4ba9eb
"KEDAR MEDICINES [CT] ATIKA, RAJKOT, RAJKOT",kedar medicines ct atika rajkot rajkot,c7716182-ac61-4785-9146-697e907c8506
"KEDAR MEDICINES, RAJKOT, RAJKOT",kedar medicines rajkot rajkot,4d863a79-5a7d-45a9-903f-3f9495fb3102
"KEDAR MEDICINES- AHIR CHOK, RAJKOT, RAJKOT",kedar medicines ahir chok rajkot rajkot,5f1c321d-da39-480c-bd17-408d5aa4b068
"KESHAV MED STORE (CT) S.K, RAJKOT, RAJKOT",keshav med store ct s k rajkot rajkot,c4441eac-70f8-41ea-afe2-0607dcebf1ee
"KESHAV MEDICINE(KOTHARIYA) 2, RAJKOT, RAJKOT",keshav medicine kothariya 2 rajkot rajkot,799a3d40-18ce-45b6-8ba8-33a778ac831a
"KESHAV MEDICINES [CT] KO.RO, RAJKOT, RAJKOT",keshav medicines ct ko ro rajkot rajkot,de3f306f-7096-4c26-8da4-d90aff7021bf
"KESHAV MEDICINES(KOTHARIYA ROAD), RAJKOT, RAJKOT",keshav medicines kothariya road rajkot rajkot,689949ef-833b-4a72-886c-b6b47b1b6cf8
"KHAREDI MEDICALSTORE, KALAVAD, KALAVAD",kharedi medicalstore kalavad kalavad,55d93583-f132-4c16-ac17-938f912b2c68
KHODIYAR M. ST. KOTHARIA,khodiyar m st kotharia,e03e7941-9e9a-4695-8882-6b67c77e2602
"KHODIYAR M.STORE MAVDI-2, RAJKOT, RAJKOT",khodiyar m store mavdi 2 rajkot rajkot,ef4a431f-6c01-4271-8dcc-8818d25b5564
"KHODIYAR MED STORE [CT] KO.RO, RAJKOT, RAJKOT",khodiyar med store ct ko ro rajkot rajkot,867a535e-ccfc-4663-a3f7-2859f58d515b
"KHODIYAR MEDICAL STORE - MOVADI 1, RAJKOT, RAJKOT",khodiyar medical store movadi 1 rajkot rajkot,a9199c79-b88e-4313-af5c-c47fa049d6a5
"KHODIYAR MEDICAL STORE [CT] MAVDI, RAJKOT, RAJKOT",khodiyar medical store ct mavdi rajkot rajkot,51473532-f0e8-4878-bd89-5949cd0e3c54
"KHODIYAR MEDICAL STORE, RAJKOT, RAJKOT",khodiyar medical store rajkot rajkot,2d6fa023-d8a6-4700-8bcd-a655e6c80d12
"KHODIYAR MEDICAL(LODHIKA), RAJKOT, RAJKOT",khodiyar medical lodhika rajkot rajkot,f10d8630-3244-47ee-bb9e-827aa680acc4
"KHODIYAR MEDICAL, LODHIKA, LODHIKA",khodiyar medical lodhika lodhika,994c1644-d00b-4c19-a85f-d2f5c58d543a
"KHUSBU MED. & GEN. STORE junct, RAJKOT, RAJKOT",khusbu med gen store junct rajkot rajkot,d16893dd-88b5-449e-92e1-ea3c7b6c3541
"KISHAN PHARMA - NANA MAVA, RAJKOT, RAJKOT",kishan pharma nana mava rajkot rajkot,930d2f24-01ee-4182-b90f-d3a7fc09421c
"KISHAN PHARMA, RAJKOT, RAJKOT",kishan pharma rajkot rajkot,f19ce07e-8032-43e1-88ac-b8ef615ed364
KOTAK BROTHERS,kotak brothers,ccc9cb0e-f55b-4137-a375-88caa49c25c9
"KOTAK MEDICINES motitanki chok, RAJKOT, RAJKOT",kotak medicines motitanki chok rajkot rajkot,1ab9a030-6a77-42e8-b54e-9d907428b53c
"KRISHIKA MEDICINES-BAPASITARAM CHOK, RAJKOT, RAJKO",krishika medicines bapasitaram chok rajkot rajko,3335b98c-c06a-4a70-9101-1191bb06e4a6
"KRISHNA CHEMIST., SHAPAR, SHAPAR",krishna chemist shapar shapar,93a918db-b1e5-4cae-8090-d034bf08e461
"KRISHNA M STORE (CT) G.N, RAJKOT, RAJKOT",krishna m store ct g n rajkot rajkot,dc6deb62-3d17-4b40-bffc-eb1d6a7db39b
"KRISHNA M. STORE, SHAPAR VERAVAL, SHAPAR VERAVAL",krishna m store shapar veraval shapar veraval,c3e53340-4be3-4f4f-96d4-f98f8e007c46
"KRISHNA M.S. Kotharia main rod, RAJKOT, RAJKOT",krishna m s kotharia main rod rajkot rajkot,ee019607-427f-4b04-84f5-d8bdc2b07588
"KRISHNA MED STORE, SHAPAR, SHAPAR",krishna med store shapar shapar,46061839-9841-411d-aaf0-26a0f1fb5dd2
"KRISHNA MEDICAL (SPEEDWELL), RAJKOT, RAJKOT",krishna medical speedwell rajkot rajkot,8094059e-382e-42c8-9de9-0321ed6286b7
"KRISHNA MEDICAL STORE ( MORBI ROAD), RAJKOT, RAJKO",krishna medical store morbi road rajkot rajko,a170e088-a1e2-49f4-be7d-e6b4ce1e65f4
KRISHNA MEDICAL STORE (MEHULNAGAR),krishna medical store mehulnagar,7d6d2751-3cff-468a-a515-12aea9f26000
"KRISHNA MEDICAL STORE LAXMAN TOWN SHIP 1, RAJKOT, ",krishna medical store laxman town ship 1 rajkot,ca2a2cb6-b527-4e67-af77-af830f43dcd3
"KRISHNA MEDICAL STORE NILKANTH CINEMA, RAJKOT, RAJ",krishna medical store nilkanth cinema rajkot raj,ef51482c-8ef7-4302-880c-a4a9c0da97bc
"KRISHNA MEDICAL STORE, GUNDASARA, GUNDASARA",krishna medical store gundasara gundasara,2a49250a-3f8e-4f42-bece-90a431d26451
"KRISHNA MEDICAL STORE, SHAPAR, SHAPAR",krishna medical store shapar shapar,58b71541-f95a-4fb1-8694-e5e12393bced
"KRISHNA MEDICAL [CT] KO.RO, RAJKOT, RAJKOT",krishna medical ct ko ro rajkot rajkot,17ffab7b-e5da-403a-9aaf-3442b2d7c02c
"KRISHNA MEDICAL [CT] SPEEDWELL, RAJKOT, RAJKOT",krishna medical ct speedwell rajkot rajkot,71cdcb8f-5e35-472f-903a-20adc8a037e8
KRISHNA MEDICINES PARADISE,krishna medicines paradise,fbf70013-f178-4bd3-bde3-4850b1c04e72
"KRISHNA MEDICINES RAIYA ROAD 7, RAJKOT, RAJKOT",krishna medicines raiya road 7 rajkot rajkot,e0d816b5-6fed-49ec-a086-c90df21ee7dd
"KRISHNA MEDICINES [CT] J, RAJKOT, RAJKOT",krishna medicines ct j rajkot rajkot,b585dd2c-e41a-406b-9d4e-7f3c24d6fd37
"KRUPA MEDICINES (CT) DHEBAR, RAJKOT, RAJKOT",krupa medicines ct dhebar rajkot rajkot,0c63cf18-33c5-4e28-b9b6-88f4c5cd7ed8
"KRUPA MEDICINES - S.T., RAJKOT, RAJKOT",krupa medicines s t rajkot rajkot,00991e3a-d263-4153-a101-b14831b4c490
"KRUPA MEDICINES.. 4, RAJKOT, RAJKOT",krupa medicines 4 rajkot rajkot,6b487ef4-8d21-416f-bf9e-c065a084d0a7
"KRUPA MEDICO - MAVDI, RAJKOT, RAJKOT",krupa medico mavdi rajkot rajkot,433767a3-6ac8-4271-8b1b-d8fe0d0e249d
"KRUPA MEDICO, RAJKOT, RAJKOT",krupa medico rajkot rajkot,ae5eec9e-6047-41c1-a20f-fb472d5416f9
"LALA CHEMIST [CT] G.G, RAJKOT, RAJKOT",lala chemist ct g g rajkot rajkot,c0d6ce0e-7172-4a51-b2c3-4afd69c0cd7e
"LALA CHEMIST gandhigram, RAJKOT, RAJKOT",lala chemist gandhigram rajkot rajkot,a8a0556f-fa9e-4935-a66e-a3332335e60b
"LAXMI MEDICINES [CT] CHK, RAJKOT, RAJKOT",laxmi medicines ct chk rajkot rajkot,dfe3c36c-1376-4d2e-97c9-10127327ac34
"LAXMI MEDICINES motitanki, RAJKOT, RAJKOT",laxmi medicines motitanki rajkot rajkot,373083ed-6f16-47cd-b5b5-7540a75030d3
"LAXMIDHAR M STORE [CT] J.R, RAJKOT, RAJKOT",laxmidhar m store ct j r rajkot rajkot,b98eec22-9a47-4292-930d-9db551e3a734
LIBERTY PHARMACY,liberty pharmacy,d37ec664-8c11-4a0b-98b3-47ab7990a0cb
"LIBERTY PHARMACY [CT] UNI.ROAD, RAJKOT, RAJKOT",liberty pharmacy ct uni road rajkot rajkot,157d2b41-f510-448a-9746-ec3e53f37ead
"LIBERTY PHARMACY(PUSHKAR DHAM), RAJKOT, RAJKOT",liberty pharmacy pushkar dham rajkot rajkot,6bb75bb5-daa0-46ae-9c89-6942c1c9fe27
LIFE CARE PHARMA NAGESHWAR,life care pharma nageshwar,75d36dec-c1aa-4384-9746-cc289f9c8b04
